eq_id,stage_count,matches_per_iter,total_samples,median_ms,mean_ms,p90_ms,min_ms,max_ms,total_ms_all_iters,frac_of_iter_pct
eq0,13,1.0,3,0.7067,1.2179,2.3307,0.6163,2.3307,3.6536,0.033
eq1,12,4.0,12,2.9761,8.6818,28.1813,0.9188,29.4877,104.1811,0.946
eq2,12,2.0,6,1.1425,4.9612,15.2041,0.9087,15.2041,29.7674,0.27
eq3,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq4,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq5,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq6,12,2.0,6,1.3855,8.9585,47.2878,0.6887,47.2878,53.7507,0.488
eq7,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq8,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq9,11,2.0,6,21.8922,123.8862,338.2226,12.2654,338.2226,743.317,6.751
eq10,11,3.0,9,41.5983,43.7092,139.8106,0.7609,139.8106,393.3824,3.573
eq11,11,1.0,3,42.7542,29.39,44.0584,1.3574,44.0584,88.17,0.801
eq12,11,1.0,3,58.5283,114.1839,240.1393,43.8842,240.1393,342.5518,3.111
eq13,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq14,11,2.0,6,8.3284,20.319,88.1325,0.3347,88.1325,121.914,1.107
eq15,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq16,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq17,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq18,11,1.0,3,1.0062,1.7026,3.1662,0.9353,3.1662,5.1077,0.046
eq19,10,5.0,15,6.5637,39.595,247.3827,0.9723,276.0094,593.9248,5.395
eq20,10,2.0,6,7.8838,6.7819,12.1561,0.9257,12.1561,40.6915,0.37
eq21,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq22,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq23,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq24,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq25,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq26,10,1.0,3,1.0449,3.5114,8.465,1.0242,8.465,10.5342,0.096
eq27,9,1.0,3,1.0604,2.192,4.5253,0.9902,4.5253,6.5759,0.06
eq28,9,1.0,3,1.0287,15.3797,44.1055,1.0049,44.1055,46.1391,0.419
eq29,9,1.0,3,0.9904,7.9692,21.9753,0.9421,21.9753,23.9077,0.217
eq30,9,4.0,12,62.6591,135.8795,402.8838,1.2715,413.8859,1630.5541,14.81
eq31,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq32,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq33,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq34,9,1.0,3,0.977,1.0442,1.1796,0.9761,1.1796,3.1327,0.028
eq35,9,1.0,3,11.3148,10.2356,18.4779,0.914,18.4779,30.7067,0.279
eq36,9,1.0,3,3.7878,3.2425,4.9701,0.9696,4.9701,9.7275,0.088
eq37,9,1.0,3,0.8696,1.4909,2.8106,0.7924,2.8106,4.4726,0.041
eq38,8,3.0,9,4.3212,19.0351,134.8617,0.8779,134.8617,171.3156,1.556
eq39,8,4.0,12,4.3509,14.218,68.0541,1.1262,77.809,170.6163,1.55
eq40,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq41,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq42,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq43,8,1.0,3,1.1733,2.1924,4.3186,1.0853,4.3186,6.5773,0.06
eq44,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq45,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq46,8,1.0,3,41.4715,33.9455,49.0974,11.2677,49.0974,101.8365,0.925
eq47,8,1.0,3,1.2603,5.0646,12.7654,1.168,12.7654,15.1937,0.138
eq48,8,1.0,3,0.8327,2.4912,5.8276,0.8134,5.8276,7.4736,0.068
eq49,8,1.0,3,87.6194,80.6421,134.4906,19.8162,134.4906,241.9262,2.197
eq50,8,1.0,3,83.5262,61.9051,100.2151,1.974,100.2151,185.7153,1.687
eq51,7,1.0,3,2.5108,2.6785,4.9498,0.575,4.9498,8.0356,0.073
eq52,7,1.0,3,0.6641,1.1109,2.0447,0.6239,2.0447,3.3328,0.03
eq53,7,1.0,3,6.5279,5.8123,7.4327,3.4764,7.4327,17.437,0.158
eq54,7,2.0,6,12.0044,33.0225,145.0258,0.76,145.0258,198.1352,1.8
eq55,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq56,7,1.0,3,12.7941,19.3719,33.9263,11.3952,33.9263,58.1156,0.528
eq57,7,1.0,3,10.873,7.9434,12.2461,0.7112,12.2461,23.8302,0.216
eq58,7,1.0,3,0.9356,7.4993,20.6886,0.8736,20.6886,22.4978,0.204
eq59,6,1.0,3,0.8733,0.8456,0.8856,0.7778,0.8856,2.5367,0.023
eq60,6,1.0,3,1.0151,10.3815,29.1497,0.9798,29.1497,31.1446,0.283
eq61,6,1.0,3,1.06,4.2802,10.793,0.9875,10.793,12.8405,0.117
eq62,6,1.0,3,5.5328,8.2433,15.3889,3.8083,15.3889,24.73,0.225
eq63,6,1.0,3,4.9097,3.7772,5.3264,1.0954,5.3264,11.3315,0.103
eq64,6,1.0,3,597.1517,1326.8098,2882.3243,500.9534,2882.3243,3980.4294,36.153
eq65,6,1.0,3,1.1938,13.3459,37.6655,1.1784,37.6655,40.0377,0.364
eq66,6,1.0,3,1.1557,1.5255,2.7814,0.6395,2.7814,4.5765,0.042
eq67,6,1.0,3,0.695,0.7259,0.9049,0.5779,0.9049,2.1778,0.02
eq68,6,1.0,3,1.4292,19.8165,56.6017,1.4185,56.6017,59.4494,0.54
eq69,5,1.0,3,193.7661,131.468,198.9408,1.697,198.9408,394.4039,3.582
eq70,5,1.0,3,166.8404,121.6981,196.7531,1.5008,196.7531,365.0943,3.316
eq71,5,1.0,3,1.1444,1.2568,1.5233,1.1026,1.5233,3.7704,0.034
eq72,5,1.0,3,1.105,1.1359,1.2022,1.1006,1.2022,3.4078,0.031
eq73,5,1.0,3,1.1068,9.2993,25.8489,0.9422,25.8489,27.8979,0.253
eq74,5,1.0,3,17.203,13.8542,23.1945,1.1652,23.1945,41.5626,0.378
eq75,5,1.0,3,4.6234,3.8813,4.6964,2.3241,4.6964,11.644,0.106
eq76,4,1.0,3,6.7646,34.2924,95.1343,0.9782,95.1343,102.8772,0.934
eq77,4,1.0,3,0.384,0.5229,0.8396,0.3452,0.8396,1.5688,0.014
eq78,4,1.0,3,0.7213,1.2084,2.2209,0.683,2.2209,3.6251,0.033
eq79,4,1.0,3,40.6019,56.7862,89.5157,40.2411,89.5157,170.3587,1.547
eq80,4,1.0,3,40.9998,40.9087,42.1101,39.6163,42.1101,122.7262,1.115
eq81,3,1.0,3,4.5966,4.5508,4.7179,4.338,4.7179,13.6524,0.124
eq82,3,1.0,3,1.184,8.8873,24.3608,1.1171,24.3608,26.6619,0.242
eq83,3,1.0,3,0.5152,10.2927,29.8632,0.4996,29.8632,30.878,0.28
eq84,2,1.0,3,0.4071,0.4126,0.4792,0.3514,0.4792,1.2377,0.011
eq85,1,1.0,3,0.3337,0.3294,0.3361,0.3184,0.3361,0.9882,0.009
