iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,1,Tensor,leaf,g,63598373,,,121536,121536,121536,345354240,15192,13818,10.313570711990552,5.229066732803696,0.3618052751837735,"g(i_2,i_1,Κ_1)","g(i_2,i_1,Κ_1)",,,,"i,i,Κ",;;,"7,7,282",7 × 7 × 282,110544,1.09944
1,1,Tensor,leaf,g,395820365,,,29489328,29489328,29489328,392900608,3686166,3664872,328.03408291046196,123.92989425956745,0.8503952014554764,"g(μ̃_19601,μ̃_19602,Κ_1)","g(μ̃_19601,μ̃_19602,Κ_1)",,,,"μ̃,μ̃,Κ",;;,"114,114,282",114 × 114 × 282,29318976,1.00581
1,1,Product,intermediate,I,84527685,121536,29489328,5179792,5179792,34790656,395063296,647474,636804,319.3017663066169,132.60778349602762,0.700024902177669,"g(i_2,i_1,Κ_1) * g(μ̃_19601,μ̃_19602,Κ_1) -> I(i_1,i_2,μ̃_19602,μ̃_19601)","I(i_1,i_2,μ̃_19602,μ̃_19601)","g(i_2,i_1,Κ_1)","g(μ̃_19601,μ̃_19602,Κ_1)","I(i_1,i_2,μ̃_19602,μ̃_19601)","i,i,μ̃,μ̃",;;;,"7,7,114,114",7 × 7 × 114 × 114,5094432,1.01676
1,1,Tensor,leaf,C,18718,,,481264,481264,34790656,395063296,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_2,μ̃_19602;a_2i_2)","C(i_2,μ̃_19602;a_2i_2)",,,,"i,μ̃,a",;;i_2,"7,114,",7 × 114 × ?,,
1,1,Tensor,leaf,t,1658,,,376,376,34790656,395063296,47,0,0.0,0.0,0.0,t(i_2;a_2i_2),t(i_2;a_2i_2),,,,"i,a",;i_2,"7,",7 × ?,,
1,1,Product,intermediate,I,7023602,481264,376,432,432,34790656,395063296,54,0,0.0,0.0,0.0,"C(i_2,μ̃_19602;a_2i_2) * t(i_2;a_2i_2) -> I(μ̃_19602,i_2)","I(μ̃_19602,i_2)","C(i_2,μ̃_19602;a_2i_2)",t(i_2;a_2i_2),"I(μ̃_19602,i_2)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,1,Product,intermediate,I,407279,5179792,432,432,432,34790656,395063296,54,0,0.0,0.0,0.0,"I(i_1,i_2,μ̃_19602,μ̃_19601) * I(μ̃_19602,i_2) -> I(i_1,μ̃_19601)","I(i_1,μ̃_19601)","I(i_1,i_2,μ̃_19602,μ̃_19601)","I(μ̃_19602,i_2)","I(i_1,μ̃_19601)","i,μ̃",;,"7,114",7 × 114,6384,0.0676692
1,1,Tensor,leaf,C,8550,,,481264,481264,34790656,395063296,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19601;a_1i_1)","C(i_1,μ̃_19601;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,1,Product,intermediate,I,3035719,432,481264,376,376,34790656,395063296,47,0,0.0,0.0,0.0,"I(i_1,μ̃_19601) * C(i_1,μ̃_19601;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(i_1,μ̃_19601)","C(i_1,μ̃_19601;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,1,Constant,constant,_const,1928,,,8,8,34790656,395063296,1,,,,,-1,-1,,,,,,,scalar,8,1
1,1,Product,residual,R,52600,376,8,376,376,34790656,395063296,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * -1 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),-1,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,1,Permute,residual,R,85494,,,376,376,34790656,395063296,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,2,Tensor,leaf,g,23810856,,,1843152,1843152,34790656,396685312,230394,225036,-13.7135187938935,9.824790694343452,0.19254784769834188,"g(μ̃_19609,i_2,Κ_1)","g(μ̃_19609,i_2,Κ_1)",,,,"μ̃,i,Κ",;;,"114,7,282",114 × 7 × 282,1800288,1.02381
