eq_id,stage_count,matches_per_iter,total_samples,median_ms,mean_ms,p90_ms,min_ms,max_ms,total_ms_all_iters,frac_of_iter_pct
eq0,13,1.0,3,0.7658,1.3183,2.4553,0.7338,2.4553,3.9549,0.036
eq1,12,4.0,12,4.5192,10.3198,29.8255,0.9533,30.073,123.8376,1.132
eq2,12,2.0,6,1.1727,3.8132,11.701,0.9231,11.701,22.8791,0.209
eq3,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq4,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq5,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq6,12,2.0,6,1.7681,7.8064,34.1566,0.709,34.1566,46.8384,0.428
eq7,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq8,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq9,11,2.0,6,22.6931,140.3936,386.8359,12.986,386.8359,842.3616,7.701
eq10,11,3.0,9,31.7856,33.0929,80.1413,0.7337,80.1413,297.8357,2.723
eq11,11,1.0,3,41.9851,33.5674,57.3889,1.3281,57.3889,100.7021,0.921
eq12,11,1.0,3,49.9202,107.4811,225.1835,47.3397,225.1835,322.4434,2.948
eq13,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq14,11,2.0,6,7.7479,20.4322,89.1177,0.3505,89.1177,122.593,1.121
eq15,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq16,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq17,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eq18,11,1.0,3,1.0182,1.7428,3.1997,1.0106,3.1997,5.2285,0.048
eq19,10,5.0,15,6.4074,39.6593,239.0149,0.9741,263.1479,594.8902,5.439
eq20,10,2.0,6,9.3348,10.1496,25.9048,1.1218,25.9048,60.8976,0.557
