iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,1,Tensor,leaf,g,32277359,,,121536,121536,121536,346066944,15192,13818,10.313570711989671,5.229066732803717,0.3618052751837755,"g(i_2,i_1,Κ_1)","g(i_2,i_1,Κ_1)",,,,"i,i,Κ",;;,"7,7,282",7 × 7 × 282,110544,1.09944
1,1,Tensor,leaf,g,438232755,,,29489328,29489328,29489328,386113536,3686166,3664872,328.03408291046827,123.92989425956779,0.8503952014554771,"g(μ̃_19601,μ̃_19602,Κ_1)","g(μ̃_19601,μ̃_19602,Κ_1)",,,,"μ̃,μ̃,Κ",;;,"114,114,282",114 × 114 × 282,29318976,1.00581
1,1,Product,intermediate,I,62073498,121536,29489328,5179792,5179792,34790656,390168576,647474,636804,319.3017663066169,132.60778349602813,0.7000249021776662,"g(i_2,i_1,Κ_1) * g(μ̃_19601,μ̃_19602,Κ_1) -> I(i_1,i_2,μ̃_19602,μ̃_19601)","I(i_1,i_2,μ̃_19602,μ̃_19601)","g(i_2,i_1,Κ_1)","g(μ̃_19601,μ̃_19602,Κ_1)","I(i_1,i_2,μ̃_19602,μ̃_19601)","i,i,μ̃,μ̃",;;;,"7,7,114,114",7 × 7 × 114 × 114,5094432,1.01676
1,1,Tensor,leaf,C,12486,,,481264,481264,34790656,390168576,60158,,,,,"C(i_2,μ̃_19602;a_2i_2)","C(i_2,μ̃_19602;a_2i_2)",,,,"i,μ̃,a",;;i_2,"7,114,",7 × 114 × ?,,
1,1,Tensor,leaf,t,1730,,,376,376,34790656,390168576,47,,,,,t(i_2;a_2i_2),t(i_2;a_2i_2),,,,"i,a",;i_2,"7,",7 × ?,,
1,1,Product,intermediate,I,6942277,481264,376,432,432,34790656,390168576,54,0,0.0,0.0,0.0,"C(i_2,μ̃_19602;a_2i_2) * t(i_2;a_2i_2) -> I(μ̃_19602,i_2)","I(μ̃_19602,i_2)","C(i_2,μ̃_19602;a_2i_2)",t(i_2;a_2i_2),"I(μ̃_19602,i_2)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,1,Product,intermediate,I,345584,5179792,432,432,432,34790656,390168576,54,0,0.0,0.0,0.0,"I(i_1,i_2,μ̃_19602,μ̃_19601) * I(μ̃_19602,i_2) -> I(i_1,μ̃_19601)","I(i_1,μ̃_19601)","I(i_1,i_2,μ̃_19602,μ̃_19601)","I(μ̃_19602,i_2)","I(i_1,μ̃_19601)","i,μ̃",;,"7,114",7 × 114,6384,0.0676692
1,1,Tensor,leaf,C,12429,,,481264,481264,34790656,390168576,60158,,,,,"C(i_1,μ̃_19601;a_1i_1)","C(i_1,μ̃_19601;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,1,Product,intermediate,I,3210571,432,481264,376,376,34790656,390168576,47,,,,,"I(i_1,μ̃_19601) * C(i_1,μ̃_19601;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(i_1,μ̃_19601)","C(i_1,μ̃_19601;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,1,Constant,constant,_const,1323,,,8,8,34790656,390168576,1,,,,,-1,-1,,,,,,,scalar,8,1
